id,cluster
politifact13720,7
politifact13731,7
politifact13744,9
politifact13766,3
politifact13773,8
politifact13775,1
politifact13806,2
politifact13815,8
politifact13816,7
politifact13820,6
politifact13823,1
politifact13836,8
politifact13853,8
politifact13854,9
politifact13887,2
politifact13893,4
politifact13897,8
politifact13905,9
politifact13913,4
politifact13919,1
politifact13921,8
politifact13924,1
politifact13934,1
politifact13936,8
politifact13942,7
politifact13943,7
politifact13949,5
politifact13955,9
politifact13957,4
politifact13973,2
politifact13978,4
politifact13982,8
politifact13987,3
politifact14003,4
politifact14005,4
politifact14021,2
politifact14026,2
politifact14040,7
politifact14052,3
politifact14062,4
politifact14063,1
politifact14085,7
politifact14090,1
politifact14095,2
politifact14116,8
politifact14126,7
politifact14128,1
politifact14135,1
politifact14144,1
politifact14145,6
politifact14148,2
politifact14155,2
politifact14161,8
politifact14166,8
politifact14187,1
politifact14190,1
politifact14205,7
politifact14207,5
politifact14211,8
politifact14213,2
politifact14222,8
politifact14233,1
politifact14235,6
politifact14238,7
politifact14247,9
politifact14258,9
politifact14259,7
politifact14265,1
politifact14270,0
politifact14273,2
politifact14278,3
politifact14285,4
politifact14289,7
politifact14293,2
politifact14305,8
politifact14309,8
politifact14310,8
politifact14311,2
politifact14327,2
politifact14330,6
politifact14333,3
politifact14355,4
politifact14356,2
politifact14361,1
politifact14362,4
politifact14376,8
politifact14384,8
politifact14386,3
politifact14388,4
politifact14395,8
politifact14402,3
politifact14404,6
politifact14406,5
politifact14408,4
politifact14421,4
politifact14426,8
politifact14436,1
politifact14447,8
politifact14448,3
politifact14452,2
politifact14469,7
politifact14472,2
politifact14481,8
politifact14490,1
politifact14492,5
politifact14498,5
politifact14499,8
politifact14500,0
politifact14503,8
politifact14506,8
politifact14507,8
politifact14516,3
politifact14517,1
politifact14534,1
politifact14544,8
politifact14548,1
politifact14556,4
politifact14564,3
politifact14565,1
politifact14567,1
politifact14576,1
politifact14587,5
politifact14595,5
politifact14596,8
politifact14597,8
politifact14605,2
politifact14620,1
politifact14621,3
politifact14624,4
politifact14643,1
politifact14644,7
politifact14664,3
politifact14666,1
politifact14667,5
politifact14668,1
politifact14678,7
politifact14693,8
politifact14694,1
politifact14699,1
politifact14700,2
politifact14718,3
politifact14722,4
politifact14727,1
politifact14733,5
politifact14737,6
politifact14742,1
politifact14745,2
politifact14749,0
politifact14750,3
politifact14754,8
politifact14755,6
politifact14756,2
politifact14759,8
politifact14769,5
politifact14770,4
politifact14771,5
politifact14776,2
politifact14777,3
politifact14788,2
politifact14789,1
politifact14810,7
politifact14814,2
politifact14815,2
politifact14818,0
politifact14827,8
politifact14832,1
politifact14835,7
politifact14837,5
politifact14839,1
politifact14840,7
politifact14855,9
politifact14856,4
politifact14859,1
politifact14860,5
politifact14862,0
politifact14863,1
politifact14879,1
politifact14880,8
politifact14884,8
politifact14885,4
politifact14887,2
politifact14888,5
politifact14890,6
politifact14893,2
politifact14896,1
politifact14905,3
politifact14908,2
politifact14920,2
politifact14927,2
politifact14944,6
politifact14947,1
politifact14950,2
politifact14991,2
politifact14992,4
politifact14993,4
politifact14998,2
politifact15004,8
politifact15014,6
politifact15017,8
politifact15018,8
politifact15030,5
politifact15031,1
politifact15037,6
politifact15046,7
politifact15048,2
politifact15049,2
politifact15052,3
politifact15095,2
politifact15096,5
politifact15097,1
politifact15100,8
politifact15108,1
politifact15109,3
politifact15123,7
politifact15129,1
politifact15130,2
politifact15135,8
politifact15137,1
politifact15141,1
politifact15146,2
politifact15147,9
politifact15156,6
politifact15159,7
politifact15161,5
politifact15164,3
politifact15178,2
politifact15187,8
politifact15188,3
politifact15189,1
politifact15190,2
politifact15191,8
politifact15201,3
politifact15204,3
politifact15205,6
politifact15206,2
politifact15208,3
politifact15210,7
politifact15217,7
politifact15224,2
politifact15232,8
politifact15241,7
politifact15251,3
politifact15256,5
politifact15262,3
politifact15263,7
politifact15266,8
politifact15267,1
politifact15268,8
politifact15270,8
politifact15271,3
politifact15280,8
politifact15287,8
politifact15298,2
politifact15301,5
politifact15304,4
politifact15307,8
politifact15309,2
politifact15327,9
politifact15331,1
politifact15334,2
politifact15341,2
politifact15342,3
politifact15347,8
politifact15349,2
politifact15352,1
politifact15354,4
politifact15355,8
politifact15356,8
politifact15360,5
politifact15362,9
politifact15367,3
politifact15368,7
politifact15370,9
politifact15371,8
politifact15379,2
politifact15383,1
politifact15386,4
politifact15398,1
politifact15399,3
politifact15401,0
politifact15402,5
politifact15404,8
politifact15409,8
politifact15416,1
politifact15418,4
politifact15419,4
politifact15423,8
politifact15427,3
politifact15429,0
politifact15475,3
politifact15486,3
politifact15487,3
politifact15492,8
politifact15494,7
politifact15501,3
politifact15505,3
politifact15512,0
politifact15514,3
politifact15525,3
politifact15532,2
politifact15533,8
politifact15534,4
politifact15539,7
politifact15540,2
politifact15544,8
politifact15545,2
politifact15554,7
politifact15562,6
politifact15564,2
politifact15570,8
politifact15573,5
politifact15579,2
politifact15591,7
politifact15592,3
politifact15599,3
politifact15604,8
politifact15606,8
politifact15616,2
politifact15623,6
politifact15625,2
politifact15626,4
politifact15630,7
politifact15631,3
politifact15655,8
