text	user_id	news_id	cluster
Must be money for Hillary's quick get a way if things get to hot in the USA for her.	430995153	politifact15287	3
Same amount of money as Iran hostage payoff wrapped on pallet hmmmm	67769151	politifact15287	3
"Thinking this looks a little hoaxish though I wish it were true.
Can't find that commanders name anywhere else but this story. Anyone who would be in charge of speaking for an operation of this size would already be well published in other cases"	757714340548149248	politifact15287	3
This could be HUGE	928533452	politifact15287	3
YUGE!!!	896729546644434945	politifact15287	3
400 million? I thought she told her loyal followers she was po, she understands how they felt.	825104630694760448	politifact15287	3
Did Obummer give the Clintons cash in addition to Iran	470773404	politifact15287	3
Hmmm	732044008759906304	politifact15287	3
What will it take to prosecute and lock them both up and Chelsea	764904569788768256	politifact15287	3
Seriously....WTF is this?	2495647274	politifact15287	3
Oh I hope this is true.	2567993008	politifact15287	3
Es fake	330740177	politifact15287	3
Is this real	163692520	politifact15287	3
Looks like a LARP.  Spoof. Fake.	41047196	politifact15287	3
If it's true it should go directly to national dept	833657782863814658	politifact15287	3
 it's true	50180734	politifact15287	3
bull	526635947	politifact15287	3
You reallly need to delete this tweet as it is FAKE NEWS. Its an article from a SATIRE site and is not true no matter how much we would like it to be true.	758839025645989889	politifact15287	3
If this is true, THIS IS BIG!!!!!! 	601836997	politifact15287	3
this is tripe, not one Source never mind details.	479976910	politifact15287	3
This is no where else in the news.  No where.	61347805	politifact15287	3
WOW.... the corruption never ends.	275074815	politifact15287	3
Is this real????	862310300804149248	politifact15287	3
Good now they can start returning refunds!	801269741381939200	politifact15287	3
Mi6??? What will they do with this evidence? hmmmm 	2561581740	politifact15287	3
So the Clintons are hiding their ill begotten money over seas?	769163139418030081	politifact15287	3
this image is from travellers/rv'rs who broke into a new warehouse store and occupied it for 24 hrs. or so its reported	40083639	politifact15287	3
ILL BELIEVE THAT WHEN I SEE IT	3311617884	politifact15287	3
HOLY TOLEDO! ! !  I want a storage room filled with cash, too!	2840811923	politifact15287	3
Original link please!	823003731935510528	politifact15287	3
Chelsea- I Know Nothing I saw Nothing	562357936	politifact15287	3
And that's fake news.	88372057	politifact15287	3
Please don't share satire articles which aren't clearly labelled, as many people think they are real. This story is literally fake. If it were real, it would be on the news.	88372057	politifact15287	3
my god there are like 2 people on these comments who even have sort of a question if this is real. We are so fucked if the majority are like this. RESEARCH. STUDY PATTERNS. THINK. quit being spoonfed. Learn to form an opinion based upon actual findings, research & reflection.	798400590116257792	politifact15287	3
Those abilities have been handicapped by MSM programming over many years.  Not sure how to remedy. They need counseling?	41047196	politifact15287	3
this is a perfect example of extreme fiction generated by none other than the Clinton/Soros rats in order to discredit the truth community. By sharing this kind of blather and doing ZERO research you have discredited an entire movement based upon truth, research and discernment.	798400590116257792	politifact15287	3
"You state promoters of  ""Clinton/Soros"" interests made this fiction. Do you have any evidence to back that up?"	707847008	politifact15287	3
Would not surprise me. Can anyone corroborate this story? If so we need to really get it out there.	796156117902622720	politifact15287	3
,totally fucking fake bait. and you are all taking it. it takes literally 30 seconds of research to see this is FAKE. Discrediting real researchers, truthers and clouding the airwaves with bullshit. Those that do real research to stop these people are pissed at you right now.	798400590116257792	politifact15287	3
Is there any other source confirming this?	128370270	politifact15287	3
Seeking daily news	381806169	politifact15287	3
Lol! Fake news!!	2605895264	politifact15287	3
If true WOW	4696541605	politifact15287	3
Not surprised	820479139912237056	politifact15287	3
It is a little sad that ReaganIsRight is satire. At least there is a humor news site left. They make me smile.	816364246384537601	politifact15287	3
Thank you! With everything going on behind the scenes most people do not know about, humor is important for one's mental health, even someone abby-normal like me. 	816364246384537601	politifact15287	3
You should watch her videos. Hilarious.	1249831310	politifact15287	3
Well, this seems relevant	869921593685721090	politifact15287	3
Very!	1249831310	politifact15287	3
And we will never know the full depths of hell she went, for power!	1249831310	politifact15287	3
Can anyone verify this?	27437087	politifact15287	3
Buloney... It's fake news, no matter how much you want it to be true .. or not.	2521994528	politifact15287	3
How's the weather in Russia? Stop spreading lies. Clinton Foundation	67297523	politifact15287	3
Article is november 2017.	400390814	politifact15287	3
So, still applies. The depth of her crimes is bottomless.	760613481313890305	politifact15287	3
So the Clintons are ISIS?	831907538031538177	politifact15287	3
Probably funded and armed them just my opinion	81438841	politifact15287	3
Everything was sounding very good until the part about turning it over to the FBI.	35069054	politifact15287	3
Exactly!	702628810483765249	politifact15287	3
I'm reading all kinds of claims from non-mainstream sources. Probably 90% is not correct, but the 10% that probably is correct, is shocking.	3909257489	politifact15287	3
Breaking: Poorly done satire should be more clearly identified, because too many people will believe anything.	403810620	politifact15287	3
Has anyone actually vetted this story? It's a day old and zero coverage anywhere but suspect blogs/forums.	28384772	politifact15287	3
Lock her up	442182573	politifact15287	3
WOWER this is very interesting NO doubt Clintons will push the blame again #CorruptClintonClan	1602224485	politifact15287	3
Wow	41421828	politifact15287	3
BEST NEWS OF THE DAY!	3060553748	politifact15287	3
Only 2 websites found on this and each were identical	818123649895067648	politifact15287	3
Not seeing this anywhere else...poorly written and looks fake	102237770	politifact15287	3
"Is it interesting that HRC tweets a bizzare message with a link to a story that brings in a twitter card photo of boxes in a warehouse an hour after this fake news broke?

What did this story flush out?

Did the Clinton Foundation fact check it? 

Why & with who?"	2495647274	politifact15287	3
"Exactly my point. 

Disinformation is nessesary. What did the satire story accomplish?

Say for a moment, parts of the story are true ... Minus the raid...

Would it make people nervous? What would be exposed if HRC had to fact check it?

Distraction is necessary."	2495647274	politifact15287	3
Ugh...	803936745884676096	politifact15287	3
Maybe you should verify if true before you involve our president.	2949745703	politifact15287	3
Biggest story in world	323029611	politifact15287	3
And unfortunately not true.	2445596436	politifact15287	3
I can't read the article because I'm blinded by your glamorous photograph. Are you single? Would you like to share a Keurig?	773930631218728960	politifact15287	3
#ClintonCrimeCartel	884833700491427844	politifact15287	3
not sure this is true	27888421	politifact15287	3
This is starting to get interesting!	3415304465	politifact15287	3
"So....

Nothing

Will

Be

Done...

Never has been, never will be..

I keep telling y'all laws mean nothing when you aren't held to them and the Clinton's are not now or ever will be held to the laws we are..."	813383347808403456	politifact15287	3
I knowI just want to cry. Entire world is corrupt!	767076006423298048	politifact15287	3
"I know
I remember white water
All we can do is hope
Good part we can get out of this is she will be destroyed in politics 
Hope"	913600123472535552	politifact15287	3
"If it/they can buy it, bribe it or steal it the Clintons will never be out of politics as that is c where unlimited money can be had.

IMO.."	813383347808403456	politifact15287	3
They probably have warehouses all over the world. #shadyandsneaky	104275768	politifact15287	3
I think you might be right	19546983	politifact15287	3
Lie.	23600888	politifact15287	3
Can anyone corroborate this?	83591080	politifact15287	3
"I wouldn't involve FBI, they're as CORRUPT as Clinton's!
That needs to go back to US Treasury!
#corruptclintons, # corruptobamas"	3282749822	politifact15287	3
WOW!	785874101634265092	politifact15287	3
This isn't on drudge	4418684392	politifact15287	3
Bullllll.....shitttttt	882374666815291393	politifact15287	3
If this is true, it is huge!	2376434720	politifact15287	3
Hehe did anyone doubt it	42744846	politifact15287	3
Holy fake charity foundation Batman, they had cash in a warehouse waiting to give ppl relief in needed areas of the world	888716328273686528	politifact15287	3
Can someone verify this	888890300726489089	politifact15287	3
I hope this is true	825727643958046720	politifact15287	3
What? This true?	759064181328875522	politifact15287	3
. Is this for real?	365127158	politifact15287	3
Not seeing this anywhere else	4418684392	politifact15287	3
Wow!	3902565862	politifact15287	3
What is happening here? Nothing on the news?	930244136	politifact15287	3
Oh no her piggy bank was found	836977614405451776	politifact15287	3
Whoa!!!	3628257623	politifact15287	3
"Good, return the funds to the citizens of the US !
This money was illegally aquired by the Clinton's. 
Paybacks a bitch, isn't it Hillary !!!"	1973402070	politifact15287	3
Please please please keep this in the media. The Clintons coincidences	815237813947932673	politifact15287	3
They show a disclaimer that nothing is true on this site. Calling it satire. ?	3825590651	politifact15287	3
How will they spin this one? How will Killery claim that she didn't know?	926881634233630720	politifact15287	3
LOCK HER UP!!!	845319850742439936	politifact15287	3
looks like Q was right again	859393163697455104	politifact15287	3
"I'll probably regret having insnia tomorrow... And RTing that.
But only time can tell."	810537088097677312	politifact15287	3
"Prolly fakenews... Twitter gets all conspiracy theories at nite.

But if you're gonna dream,at as well dream bigly!"	810537088097677312	politifact15287	3
Multiple sources reporting when you 'duckduckgo' it....	810537088097677312	politifact15287	3
Humm?? I sense Fake. But I'm hoping...	805074778230927360	politifact15287	3
Color me extremely skeptical. Did I mention extremely. And skeptical?	61825755	politifact15287	3
WALL 	3151927958	politifact15287	3
Not looking  good for CLINTON, too bad.	832689366162079746	politifact15287	3
"Why..nuthin' to ""seize""...I mean, see , there. It's all charitable stash...just waiting to help."	775350028315398145	politifact15287	3
100% fake.	18564915	politifact15287	3
Yeah man. Fake news. Wish it was true tho	18021795	politifact15287	3
I think the corrected number was $20M, which I would argue is a huge amount for Canada's taxpayers to donate to an American candidate. It does help explain Trump laughing at Trudeau and regarding him as scum even while polite in public.	4213348228	politifact15287	3
Yes but I think it was a report error. Have a look Joni:	4213348228	politifact15287	3
I agree 100% and it may go deep. Was it payback for some Clinton/Soros support to Trudeau's campaign? Could that have been part of a master plan for social engineering the West? Did Trump spoil the progressives' drive to world domination?	4213348228	politifact15287	3
"Falling Democrat dominos and imploding liberal base with riotous street thugs and Clinton Soros bravely leading from behind ! 

FBI from these cities reportedly investigating Clinton Foundation"	4213348228	politifact15287	3
I am curious as well.  Is this a credible report?	21707905	politifact15287	3
Is this a credible report?	712387674204545024	politifact15287	3
God please let it be true!	890950755926106118	politifact15287	3
Finder's,keepers! Outrageous!	775779297982156800	politifact15287	3
People need to share this until it goes viral and ALL NEWS OUTLETS REPORT THE ACTUAL TRUTH!!!	823682481052323840	politifact15287	3
I wish I could... this would be a early Christmas! 	4454359240	politifact15287	3
Not good	819410156689584128	politifact15287	3
My Clinton foundation money tweet?	580497629	politifact15287	3
I hope this is true god I hope this is true.  but it is not I really  don't like the false story crap	933217448	politifact15287	3
Maybe you should verify if true before you involve our president.	2949745703	politifact15287	3
Is this verified?	736750781093707776	politifact15287	3
U1 Deal was designed to hide; black market uranium & dark arms exports & imports of heroin, opioids & recovered battlefield weapons for Al Fuqra by Mueller, McCabe, Comey, McCain, Graham & the Clintons. #IranContra is now run as #AwanContra	47680487	politifact15287	3
Oh yeah! The Clintons are being probed for money laundering. Where's all that money missing while she was Sec of State? What are her ties to terrorist?	47680487	politifact15287	3
"What happened to the $400M ransom paid to Iran with no congressional authorization for the return of US Navy personnel who strayed into Iranian waters?
Sure would be nice to find out what happened to all that money."	47680487	politifact15287	3
Remember, when the fake news, Snopes and Google say look Right, always look Left to see what's really going down. They lie like a rug. 	47680487	politifact15287	3
So much desperation to cover the truth by Clinton steeple. Flushes them out!  That's when you know you're on the right track.	47680487	politifact15287	3
We'll, well, well! That's interesting....	911665618012835840	politifact15287	3
Unbelievable- is their trashy world ever going t b curbed??	1899311851	politifact15287	3
Wtf	763607902946856960	politifact15287	3
I don't care if it is a SATIRE site. It's most likely true knowing the Clintons history.	47680487	politifact15287	3
So much desperation by the clueless left to protect Hillary. FAUX Outrage! Outrage!  That's when I know I'm onto the truth.	47680487	politifact15287	3
Thanks for making my day. The Liberal desperation is showing. Losing their . Stay tuned. You haven't seen anything yet. The swamp is being drained. #TheStormIsHere	47680487	politifact15287	3
Do you Clinton twats know what satire is? It's MOCKERY of the truth. The stupidity and denial of Liberals is your downfall.	47680487	politifact15287	3
"Who can dispute the veracity of the article given the reporter's credentials. 

I mean c'mon - HVAC in Tallahassee!  I'm so thankful we have people like him on our side."	886788588880498688	politifact15287	3
Hi. You're insane.	1450182086	politifact15287	3
Stop spreading your ignorance	3067777054	politifact15287	3
Fake news spread by a botnet.   A certain type of person falls for this everyday.   The same type that fell for every National Enquirer headline in the checkout lane for the last 30 years.	40083800	politifact15287	3
Read the comments below. Stop reading your fake main stream media trash. That's why you wouldn't know the truth if it slapped you upside your hard head. #cognitivedissonance	47680487	politifact15287	3
You need to study the difference between cognitive dissonance and ignorant bullshit.	130260194	politifact15287	3
Everything you think you know about the Clintons is made up of lies you want to believe. The whole problem is you and your lack of integrity.	48246434	politifact15287	3
You're an uneducated hypocrite. Sad.	47680487	politifact15287	3
I'm not the one posting satire thinking it's real, for fuck's sake.	48246434	politifact15287	3
 #sheeple	47680487	politifact15287	3
No. You're mistaken. That was your Antifa Terrorist brethren. Didn't have a clue. Just wanted to stab people and horses.	47680487	politifact15287	3
There are so many like this.  They have fallen for non-stop Russian propaganda against the Clintons since the 90's completely unaware that many Russians blame Bill Clinton, Boris Yeltsin and Jeffrey Sachs for Russian decline. See if they can locate Russia on a map.  Nope.	130260194	politifact15287	3
A lot of us would like to locate and reclaim the 20% Yellow Cake Uranium Hillary ILLEGALLY sold to Russia, the people who will weaponize it to nuke us. Wake up!	47680487	politifact15287	3
You should probably look up the definition of satire. 	824748495802359808	politifact15287	3
Obviously, you're clueless. Satire is MOCKERY OF THE TRUTH. BOOM! TIC TOC TIC TOC	47680487	politifact15287	3
People like you are the reason that #FakeNews exists and is thriving.  Congrats.	135710839	politifact15287	3
I blocked that fool months ago...pure ignorance	526110389	politifact15287	3
That account is most likely part of a botnet.	40083800	politifact15287	3
Yes. Let's embrace TRUE Clinton history like Bill's rape of Juanita Broderick and Hillary rescuing child trafficker Laura Silsby who tried to smuggle 30 children out of Haiti. Shall I go on?	741326993392701440	politifact15287	3
I get your point. However, now a days when they say it's fake, it's most likely true. Besides, it has a truthful ring to it. It has that Clinton feel....illegal and blame somebody else.	47680487	politifact15287	3
"""That Clinton feel""....Jesus Christ stop making shit up."	24265209	politifact15287	3
You're such an angry, ugly broad. Must suck to be you. 	47680487	politifact15287	3
That's what you're told to think.	47680487	politifact15287	3
Jesus Mother Of God! HAVE YOU BOTHETED TO READ ANY OF MY COMMENTS????? Or, are you just a common troll misfit? Stop being a sheeple.	47680487	politifact15287	3
"I checked into this, confirmed it's #FakeNews.. None of these Clinton Foundation ""busted"" stories are ever true... NEVER RETURN TO THE WEBSITES THAT PUBLISH THEM!!!"	21976456	politifact15287	3
Chelsea Clinton's assistant was quoted here The family still requires slaves Chelsea Clinton doesn't wipe her own ass U know she is too busy	322609246	politifact15287	3
I wonder if Chelsea is wearing an orthopedic boot yet. 	47680487	politifact15287	3
"Things wrong here
1. Money found had no connection to Clinton foundation
2. Foundation rents the space with other people
3. Hack reporting"	5822902	politifact15287	3
#AwanContra	47680487	politifact15287	3
Have you found any other info sources that can back this up yet?  If this is true, it should result in charges from multiple countries.	767127023663747072	politifact15287	3
Only main stream media is not reporting. They're zealously calling it fake news which is a clue that it's anything but fake. The puzzle pieces are coming together.	47680487	politifact15287	3
The website is satire.  That should tell you all you need to know.	135710839	politifact15287	3
Maddox, Did you not read any of the follow up thread? Do I have to wipe your oss, too. #sheeple	47680487	politifact15287	3
You seriously believe any blog you find on the internet? You do realize journalists have libel laws to be accountable to? Blogs have none.	780974366557245441	politifact15287	3
You would do well to broaden your mind away from Lame Stream Media to the REAL NEWS that's not owned by a few old rich white men with their own agendas. #sheeple	47680487	politifact15287	3
Iran Contra not satire.	828799565176385536	politifact15287	3
#AwanContra	47680487	politifact15287	3
What does that mean? You support the illegal sell of arms to our enemies?	828799565176385536	politifact15287	3
Don't be silly. Research #AwanContra. That's Hillary's baby. She sold weapons to the enemy. She has a lot of blood on her hands.	47680487	politifact15287	3
So, if she goes to prison are you digging up Regan and sending him? It's the same crime. Regan didn't get punished.	828799565176385536	politifact15287	3
Thanks for the information,I hadn't heard about it	728699776066150400	politifact15287	3
Hard t tell how much is true bt even if it's just a morsel it's more Clinton garbage	1899311851	politifact15287	3
I wonder where all that cash that Obama flew out of the country ended up. Oh wait. Do you think we will ever find out or will this be buried?	767864437437005824	politifact15287	3
I cannot find any proof this is real   :/   yet...	43464149	politifact15287	3
Is this true?	79579759	politifact15287	3
Tick tick tick tick.......	232982837	politifact15287	3
Just Getting The Ball Rolling Nice Start Guys	761521174790545408	politifact15287	3
Fake news	784825083101577216	politifact15287	3
I'm thinking it is just too good to be true, sadly.	721031441417691136	politifact15287	3
What kind of person would deliberately make up an evil story and spread it around? This is horrible gossip. Never happened. FAKE.	961369225	politifact14644	3
No.	20091303	politifact14644	3
My dad actually lives in a trailer by the water and it got destroyed by 10ft of storm surge. Plz help if you can.	14145294	politifact14644	3
You need to put the answer in your tweet-	497096312	politifact14644	3
And another #libtard site trying to pass off #fakenews glad to see Snopes caught em 	825940918842777600	politifact14644	3
Why would Hillary say something like that?  It's be more like Trump talking.  Thanks Snopes for clearing that up.	882048605313527808	politifact14644	3
This is an un-truth. I don't like Hilary, but I won't lie about her. Same story about Killary and Obama out there.	384314934	politifact14644	3
#ClickBait	236670373	politifact14644	3
"I Thank God everyday that 
Hit-Liar-y Clinton is NOT our President!"	898083124034158592	politifact14644	3
We know she is a horrible woman but this is over the top!!	716782335018926080	politifact14644	3
So is Maddow still all about Hillary after she saw it firsthand? Did it have to take seeing it to believe it? Dems are slow blockheads.	35553557	politifact14644	3
Thank GOD for intelligent voters! Where would FL be now with this psychopath ignoring them & promoting their demise? Mental institution?	35553557	politifact14644	3
DEPLORABLE!!!	822980242440646656	politifact14644	3
How Do WE THE AMERICAN PEOPLE Make Sure That HTC Has No Chance To Be POTUS In 2020? It's Actually Very Simple, WE MUST VOTE FOR TRUMP! VOTE!	75550876	politifact14644	3
HILLY, BILLY & BARAC, THE DIRTY DISPICABLE DEM TRIO HAVE DEVASTATED OUR COUNTRY OUT OF GREED & SELF WANT! I'M SHAMED TO CALL THEM AMERICANS!	75550876	politifact14644	3
This is Hillarys TRUE HEARTLESS COLORS Showing through and what she thinks of people that are the VICTIMS of the HURRICANE HRC 	776952165575299072	politifact14644	3
I hope not, I like to think all people are inherently good. Unfortunately, I've encountered those who are not. #Sad if it's HRC or press.	4440679582	politifact14644	3
I don't doubt she thinks that way, but I doubt Rachael would be so upright. Sounds a bit too good to be true.	318139461	politifact14644	3
She is a disgusting disgrace of a human being to wish people dead in the whole state of Florida is pretty delusional sick mentally	4230787578	politifact14644	3
Everybody send to FOX news so they will  air this story	4230787578	politifact14644	3
I looked up statefort news they are legit	4230787578	politifact14644	3
Well hopefully FOXNews can check it out I have sent it out 2 Fox,Hannity, and Tucker you guys can do the same that way they will get it	4230787578	politifact14644	3
Also I've never known the conservative media 2 send out fake news I have not seen that yet if this were CNNorMSNBC then yes I would question	4230787578	politifact14644	3
Where's the video to support this?	910565049839874049	politifact14644	3
I smell a rat here. This seems terribly fake to me, but deep down inside I am hoping every single word is true.	2270800848	politifact14644	3
First time for her!! It usually B J Clinton caught on tape! Pediphile billy boy just being a pediphile. Go back in the woods loser	794663180211343360	politifact14644	3
If there really is a recording, he would be rich right now. Sounds fake to me and I'm no Hillary fan.	2352889140	politifact14644	3
He is holding it if she runs can you read	4230787578	politifact14644	3
And, as an addendum to my last tweet, just because the internet says something doesn't mean it's true. Sell the tape, someone will pay now.	2352889140	politifact14644	3
Yes, I can read. Don't make it personal. I stated my opinion, I find this story unbelievable. I don't like Hillary but this sounds fake.	2352889140	politifact14644	3
#FakeNews	829775739767631873	politifact14644	3
NOT TRUE	961369225	politifact14644	3
Bots	61015843	politifact14644	3
"Another FAKE ""news"" story- like pizzafarce in which someone believed so much they shot it up. In jail, they still believe Russian story."	804573487767703552	politifact14644	3
"""says he will hold onto the footage until he needs to save the country or himself"". Bahahahahahaha"	3123862126	politifact14644	3
The same idiots who thought Trump would make a good president.	222164575	politifact14644	3
Bullshit.	59269191	politifact14644	3
The brainwashed right wing Hillary Clinton haters.	819291556003745792	politifact14644	3
They hate everyone. Hate is their oxygen.	864487498935787520	politifact14644	3
She's evil but unless there's proof of this, someone is behaving like a lying Democrat.	2920090255	politifact14644	3
When I see Hillary I see evil in a pantsuit	880983828977913857	politifact14644	3
Wonder if this is true? Sure would wipe out Hillary's future plans if it were. Can't quite believe Hillary would be so stupid as to say it.	872827599776612353	politifact14644	3
She's a real peach, isn't she? My God did we dodge a bullet in November.	822302391538061312	politifact14644	3
She and Bill we're both hillbillies from Arkansas	862024278	politifact14644	3
No	858129831170637825	politifact14644	3
Are you an adult person...?	1292673349	politifact14644	3
I just have one thing to say to Hillary............	373209073	politifact14644	3
Fake story	781714505734684672	politifact14644	3
This is fake	781714505734684672	politifact14644	3
Think this is a parody account. Maddow would have agreed	4071754307	politifact14644	3
This is #FakeNews. It did not occur and is not accurate. Please DO NOT retweet that Tweet as fact. It is not. Please Google it. #Accuracy	14437333	politifact14644	3
Rotten Hillary showing her Uncaring Evil Nature again.Human life means nothing to her,Unless she makes millions off them,Souless Greedy Life	808052618253602816	politifact14644	3
If this is true, and I can hardly believe it, such tape should b made public.	16492765	politifact14644	3
would expect nothing less from this lowlife.	127323519	politifact14644	3
Why aren't I 50 points ahead? Said the lady now hocking books in milk aisle at Costco. After being told to move away from front door  	4855019266	politifact14644	3
She really does not understand that you have to be nice to everybody to be a Christian. Not just the perverted, corrupt, murderous Evil ones	2790442199	politifact14644	3
i reposted again.	731707601847717889	politifact14644	3
Who cares? Hillary who? She doesn't represent me or mine. Give her NO attention.	23126414	politifact14644	3
I'd say that qualifies her as the biggest Cu..aseuras of all time.	716360897757716480	politifact14644	3
Common bro, post it or #FakeNews	781512064393097216	politifact14644	3
She never gave a dime to either hurricane. She hates Americans.	841426890661404672	politifact14644	3
she hates humanity! she is for depopulation, along w/ the rest of the satanic #nwo globists.	731707601847717889	politifact14644	3
Fake news	720769072187576321	politifact14644	3
After THIS.. best to remember what she did BEFORE it's taken down or the man letting us KNOW is suicided for sharing with us??	2611066880	politifact14644	3
FAKE NEWS!! Spread this sh-t around as you do so many other bogus things. You should be ashamed of yourself. You're NO patriot!	1006589516	politifact14644	3
Really, where's your proof it's fake? I will take every chance I can get to bash this obnoxious witch-she's earned my loathing for decades!	740070551516008448	politifact14644	3
I still think this is fake news. I don't doubt she woulod say such a thig, but I think this fake news.	2903107480	politifact14644	3
Wow that lady is pure evil	313055068	politifact14644	3
If this is true, she proves over and over again how truly evil she is. Let her keep talking and hang herself for good.	3659877928	politifact14644	3
"Hillary called Repub voters Deplorable, and in emails called Dem voters ""Shit for Brains""-we see the arrogance once again with hillbillies."	796784197507518464	politifact14644	3
I didn't see her in any pictures helping out the people in Texas or Florida during the storms	313055068	politifact14644	3
Now we know why.	3659877928	politifact14644	3
Nope!	3659877928	politifact14644	3
Not so.	822617712690155521	politifact14644	3
WHAT HAPPENED HILLARY, Some of us caught on during election that you were a HEARTLESS SCUMBAG. That's why you lost.	776952165575299072	politifact14644	3
"That's not a ""source,"" it's a robot voice reading a badly written fake news script."	961369225	politifact14644	3
Ur funny. .  Want words to matter except when illigitamate President says them. #muellerclosingin	818469041765552128	politifact14644	3
Hillary Clinton never, ever said this. Maddow had the interview with Clinton & it aired Thursday.	764489721644888065	politifact14644	3
I don't think this is true!	36064015	politifact14644	3
She pure evil	589077339	politifact14644	3
pos	865957679818096645	politifact14644	3
Hate Hillary. But this story bogus.	786719482345508865	politifact14644	3
Hillary, been chasin any dollar bills lately?...Carville said: Whadya expect if you drag a dollar bill throught a trailer park?	29331470	politifact14644	3
If this is true I look forward to the day he publishes this gem	3252914051	politifact14644	3
Where is the AV?	756838264842039296	politifact14644	3
I'll believe it when I actually hear the tape.	36252052	politifact14644	3
Is this real? Even Hillary.......	1537798038	politifact14644	3
these people r killers they have over 100 people now thats suicided. but madcow is in danger now. but this is a way to get take down  msnbc	882024042173255680	politifact14644	3
That's a crock Maddow would have laughed and agreed with her!	753343810143264768	politifact14644	3
Reading the alleged response of Maddow, my gut instinct says this is not real.  Not that I put it past her mind you.	34255591	politifact14644	3
No video or sound, it didn't happen. Probably just a socialist ruse to then feign outrage at the 'lies' from the other side. Typical	775917624135864320	politifact14644	3
I despise HRC but this is satire.	789550040092061696	politifact14644	3
